aptCode,aptName,dongCode,dongName,buildYear,jibun,lat,lng,img,avgDealAmount,totalDealCount
4677,"방배아트 e편한세상",1165010100,방배동,2005,486-4,37.4750412,126.9919002,NULL,NULL,NULL
4678,현대오페라하우스2차,1165010100,방배동,2003,823-14,37.4900967,126.9856707,NULL,85000,1
4679,방배노블힐스,1165010100,방배동,2003,593-45,37.4756918,126.9936947,NULL,71750,2
4680,현대멤피스,1165010100,방배동,2002,772-13,37.495121,126.9883078,NULL,NULL,NULL
4681,청암,1165010100,방배동,1992,980-45,37.4797004,126.9913559,NULL,80800,1
4682,신한엔시모,1165010100,방배동,2005,802-4,37.492951,126.9953415,NULL,212333,3
4683,브라운스톤효령,1165010100,방배동,2005,981-40,37.4795909,126.9956357,NULL,158667,3
4684,베로니스2차,1165010100,방배동,2004,803-9,37.4934105,126.9943945,NULL,172000,1
4685,상지리츠빌4차(843-11),1165010100,방배동,2004,843-11,37.4921153,126.9961398,NULL,145000,1
4686,정림,1165010100,방배동,2001,434-3,37.4816687,126.9857236,NULL,122875,4
4687,"방배아트 e편한세상",1165010100,방배동,2005,484-2,37.475476,126.9903782,NULL,NULL,NULL
4688,방배엔스위트,1165010100,방배동,2004,481-11,37.47585540000001,126.9879616,NULL,89000,1
4689,신호그린빌,1165010100,방배동,2006,980-25,37.4788593,126.9888776,NULL,88500,2
4690,롯데캐슬포레스트,1165010100,방배동,2003,844-27,37.491671,126.9959275,NULL,264000,1
4691,방배3차현대홈타운,1165010100,방배동,2004,2233,37.4914096,126.9836921,NULL,158940,5
4692,새티스(402-10),1165010200,양재동,2001,402-10,37.4711407,127.0498801,NULL,40750,2
4693,한아름,1165010200,양재동,2003,3-1,37.4840901,127.0413342,NULL,64000,1
4694,서초파크빌,1165010200,양재동,2000,312-3,37.4716244,127.0407066,NULL,58500,1
4695,서초네이처힐1단지,1165010300,우면동,2012,707,37.4635256,127.0199384,NULL,123000,1
4696,신반포25,1165010600,잠원동,1984,61-1,37.5146598,127.0092049,NULL,187500,2
4697,신반포26,1165010600,잠원동,1984,62-4,37.5130103,127.0096735,NULL,215000,1
4698,훼미리,1165010600,잠원동,1992,51,37.5190395,127.014448,NULL,161600,5
4699,정광아파트,1165010700,반포동,2004,107-19,37.4984214,126.9963132,NULL,85000,1
4700,한신3차,1165010700,반포동,1978,1-1,37.5067339,126.9973104,NULL,287367,3
4701,현대동궁아파트,1165010700,반포동,1991,64-5,37.50053219999999,127.0019137,NULL,117000,4
4702,반포빌라트(71-1),1165010700,반포동,1995,71-1,37.4983247,126.9997898,NULL,170000,1
4703,비엥에뜨르,1165010700,반포동,2004,86-5,37.4949406,126.9994991,NULL,85750,2
4704,"반포서래 월드메르디앙스칼라아파트 B동",1165010700,반포동,2005,550-27,37.4973998,127.0012271,NULL,115000,1
4705,상지리츠빌(73-2),1165010700,반포동,2001,73-2,37.4979732,127.0003159,NULL,158000,1
4706,엘리제빌,1165010700,반포동,2007,99-1,37.4946505,126.9968477,NULL,190500,2
4707,반포쎄레노아파트,1165010700,반포동,2002,742-10,37.5040776,127.0196336,NULL,59000,1
4708,반포훼미리(102동),1165010700,반포동,2003,712-19,37.5078454,127.0174296,NULL,109000,1
4709,엠브이아파트,1165010700,반포동,1994,46,37.4990493,127.0100762,NULL,109000,8
4710,서초아크빌,1165010800,서초동,2003,1568-1,37.4907731,127.0128666,NULL,155000,2
4711,서초대우,1165010800,서초동,2000,1467-3,37.4793822,127.0064463,NULL,131500,2
4712,서초5차e편한세상,1165010800,서초동,2005,1467-62,37.4796692,127.0072407,NULL,160625,4
4713,두산위브(1362),1165010800,서초동,2005,1362,37.4861825,127.0326188,NULL,77500,2
4714,삼성서초가든스위트,1165010800,서초동,2000,1326,37.494189,127.0258921,NULL,318500,4
4715,서초극동스타클래스,1165010800,서초동,2003,1616-10,37.4877818,127.0228657,NULL,111500,1
4716,래미안서초4차,1165010800,서초동,2005,1473-2,37.481024,127.0107482,NULL,128750,2
4717,현대아이파크,1165010800,서초동,2003,1436-14,37.4856659,127.0229385,NULL,154000,7
4718,삼환바우스,1165010800,서초동,2006,1677-11,37.494868,127.0188832,NULL,88500,1
4719,서초대우아이빌,1165010800,서초동,2003,1675-11,37.4941724,127.0174776,NULL,35270,10
4720,롯데캐슬스파,1165010800,서초동,2003,1647-1,37.4908931,127.0211177,NULL,173125,4
4721,풍림아이원(101동),1165010800,서초동,2004,1607-6,37.4880096,127.0235005,NULL,110000,1
4722,밀라텔쉐르빌,1165010800,서초동,2001,1316-31,37.4986402,127.0250291,NULL,43600,7
4723,두진한아름,1165010800,서초동,1995,1609-6,37.4896274,127.0230056,NULL,72500,1
4724,현대홈타운,1165010800,서초동,2005,1506-88,37.4884593,127.0053593,NULL,148460,5
4725,래미안서초5차,1165010800,서초동,2005,1522-1,37.485542,127.0078596,NULL,140000,1
4726,상지리츠빌(7),1165010800,서초동,2005,1491-1,37.48333909999999,127.0024218,NULL,246667,3
4727,상지리츠빌(3),1165010800,서초동,2004,1492-13,37.4841706,127.0032565,NULL,175500,2
4728,서초현대,1165010800,서초동,1999,1648-2,37.4906242,127.0200887,NULL,104250,14
4729,서초포레스타7단지,1165011100,신원동,2013,271-9,37.449686,127.0575758,NULL,128000,1
4730,삼환나띠르빌(1002-7),1165010100,방배동,2003,1002-7,37.4809603,127.0049872,NULL,99667,3
4731,세양아르비채102동,1165010100,방배동,2006,425-1,37.4845914,126.9833797,NULL,115000,2
4732,성지라빌레뜨B,1165010100,방배동,2005,845-14,37.4922318,126.9969196,NULL,220000,1
4733,방배아크로타워,1165010100,방배동,2007,923-6,37.4830983,126.9952767,NULL,69583,6
4734,신구하이텍빌리지,1165010100,방배동,1996,865-24,37.4864214,126.9844223,NULL,123000,1
4735,신구,1165010100,방배동,1992,980-48,37.4798939,126.9920634,NULL,89000,1
4736,방배삼성홈타운(102),1165010100,방배동,2004,877-6,37.4888171,126.9948349,NULL,117000,1
4737,양재테크노5,1165010200,양재동,2003,7-39,37.4832373,127.0403897,NULL,37000,1
